Time(IST),Video_Timestamp,Event
14:57:53,00:00,Heart Meter
14:58:29,00:36,Breathing Calibration
15:02:38,04:45,First Portrait
15:03:23,05:30,First performance
15:04:44,06:51,First freeze frame
15:06:00,08:07,Second Portrait
15:06:38,08:45,Second performance
15:08:23,10:30,Second freeze frame
15:08:34,10:41,Collective BPM
15:09:24,11:31,Third Portrait
15:09:41,11:48,Third performance
15:11:09,13:16,Third freeze frame
15:11:25,13:32,Collective BPM
15:12:08,14:15,Fourth Portrait
15:12:23,14:30,Fourth performance
15:13:22,15:29,Fourth freeze frame
15:13:29,15:36,Collective BPM
15:14:05,16:12,Fifth Portrait
15:14:12,16:19,Fifth performance
15:15:40,17:47,Fifth freeze frame
15:15:50,17:57,Collective BPM
15:16:19,18:26,Sixth Portrait
15:16:28,18:35,Sixth performance
15:18:20,20:27,Sixth freeze frame
15:18:29,20:36,Collective BPM
15:19:03,21:10,Seventh Portrait
15:19:18,21:25,Seventh performance
15:22:28,24:35,Seventh freeze frame
15:22:32,24:39,Collective BPM
15:23:09,25:16,Eighth Portrait
15:23:18,25:25,Eighth performance
15:25:08,27:15,Eighth freeze frame
15:25:15,27:22,Collective BPM
15:25:45,27:52,Ninth Portrait
15:26:08,28:15,Ninth performance
15:27:26,29:33,Ninth freeze frame
15:27:34,29:41,Collective BPM
